11conrad	i4x-IITBombayX-CS101_1x-video-7df8e247ed0a4c198f6e14e3a773c2aa	10883
11conrad	i4x-IITBombayX-CS101_1x-video-9aa09a2f71a840b4ab4045fdc6286b55	474
11conrad	i4x-IITBombayX-CS101_1x-video-a41e112edb0a40009370c1a874519b24	6928
11conrad	i4x-IITBombayX-CS101_1x-video-a67819e6acf2456c9059e2e3dbb85555	9834
11conrad	i4x-IITBombayX-CS101_1x-video-b526cea522c144e3a692d2817126c85b	24
11conrad	i4x-IITBombayX-CS101_1x-video-bed060e42cb34818aff4d9105059341a	2654
11conrad	i4x-IITBombayX-CS101_1x-video-e03113c234f14a848f725a44f8d1265d	2
11conrad	i4x-IITBombayX-CS101_1x-video-eb58dba5325a4f2c85e228d7c4acb118	362
11conrad	i4x-IITBombayX-CS101_1x-video-f61de37103ab42f2b50f5f5e43489e70	0
1223	i4x-IITBombayX-CS101_1x-video-641407821f3a44ee9530a3ea900e2e80	5
123123somi	i4x-IITBombayX-CS101_1x-video-2099d86d71e7472ba51de5032c5fd8fd	0
123123somi	i4x-IITBombayX-CS101_1x-video-20b46f47de694bb68711be1806ed60f9	1
123123somi	i4x-IITBombayX-CS101_1x-video-2c6ffa5792c84d4587fc9ecc4c372d74	63029
123123somi	i4x-IITBombayX-CS101_1x-video-4f62458015584c0bbf904ce09caacc5d	19
123123somi	i4x-IITBombayX-CS101_1x-video-62fdb447b6144befb5bd1f66f8da766d	1
123123somi	i4x-IITBombayX-CS101_1x-video-666ac9647c7b4de4802d4310585767ec	63
123123somi	i4x-IITBombayX-CS101_1x-video-9baf3bd2d9fa461a9a488279457037a6	1337
123123somi	i4x-IITBombayX-CS101_1x-video-ac88b4fd7d1c4dc4aab8a3a912d6029d	63052
123123somi	i4x-IITBombayX-CS101_1x-video-adf16f0ca0524a14a9ed2ba4663289f7	1
123123somi	i4x-IITBombayX-CS101_1x-video-bfaf4276d045462d8c0c22e8309f858f	1
123123somi	i4x-IITBombayX-CS101_1x-video-cfb296bd686b408bb997fb14696235fa	1345
123123somi	i4x-IITBombayX-CS101_1x-video-eb58dba5325a4f2c85e228d7c4acb118	1
123123somi	i4x-IITBombayX-CS101_1x-video-eccdc5020c6b49c7990bea7d8307b244	1
123123somi	i4x-IITBombayX-CS101_1x-video-f6b932aa49774e9cb54cfe8177fcffa8	0
123123somi	i4x-IITBombayX-CS101_1x-video-fa1f6040f46a43298cc25fc33db89a83	222
12AK	i4x-IITBombayX-CS101_1x-video-bd155f3df2254815ac1f6812f9b4e4bd	602
143saf	i4x-IITBombayX-CS101_1x-video-2e83efb1ad5c4ba39a075eca242f6d52	3870
143saf	i4x-IITBombayX-CS101_1x-video-384d076067a14df9b1c3b63325fef0ba	2
143saf	i4x-IITBombayX-CS101_1x-video-38958b14718e4e03aa3282e0156cc52b	1
143saf	i4x-IITBombayX-CS101_1x-video-4132ae1e4124493c8ab1edbfb6e80dfe	1025
143saf	i4x-IITBombayX-CS101_1x-video-438bf18180274d23a8a82092feec01d4	73261
143saf	i4x-IITBombayX-CS101_1x-video-4f62458015584c0bbf904ce09caacc5d	0
143saf	i4x-IITBombayX-CS101_1x-video-641407821f3a44ee9530a3ea900e2e80	645
143saf	i4x-IITBombayX-CS101_1x-video-6eb3c310694649e8b4560ccd18c93ab1	14686
143saf	i4x-IITBombayX-CS101_1x-video-7f4a5b8ee172412f8fda3d4284ff14af	1219
143saf	i4x-IITBombayX-CS101_1x-video-9746c3497d77460195c74a8e0588d589	931
143saf	i4x-IITBombayX-CS101_1x-video-a3d6a7442ff949409f2d34dddea9a984	67
143saf	i4x-IITBombayX-CS101_1x-video-a43751d47a934a9da245f28a94e1759e	0
143saf	i4x-IITBombayX-CS101_1x-video-bd155f3df2254815ac1f6812f9b4e4bd	0
143saf	i4x-IITBombayX-CS101_1x-video-cfb296bd686b408bb997fb14696235fa	70
143saf	i4x-IITBombayX-CS101_1x-video-d5cc17817ee34678bea3f5da66d00188	3885
143saf	i4x-IITBombayX-CS101_1x-video-e03113c234f14a848f725a44f8d1265d	0
143saf	i4x-IITBombayX-CS101_1x-video-f5a8749c5ff84f59ab71d2cdab36764b	18075
143saf	i4x-IITBombayX-CS101_1x-video-f61de37103ab42f2b50f5f5e43489e70	0
1994akanksha	i4x-IITBombayX-CS101_1x-video-641407821f3a44ee9530a3ea900e2e80	542
1ELENA	i4x-IITBombayX-CS101_1x-video-641407821f3a44ee9530a3ea900e2e80	1
1JobHunt	i4x-IITBombayX-CS101_1x-video-0da35293c921479db06062db258f9b11	17
1JobHunt	i4x-IITBombayX-CS101_1x-video-0ef1b924068e491194b9e008efa088e8	0
